Timestamp;SessionID;ScreenX;ScreenY;Email;Framecount
2022-10-4 13:25:4.276;32;708;97;anonymous;NA
2022-10-4 13:25:4.284;32;707;101;anonymous;NA
2022-10-4 13:25:4.290;32;706;104;anonymous;NA
2022-10-4 13:25:4.298;32;705;107;anonymous;NA
2022-10-4 13:25:4.305;32;704;111;anonymous;NA
2022-10-4 13:25:4.312;32;704;113;anonymous;NA
2022-10-4 13:25:4.320;32;703;117;anonymous;NA
2022-10-4 13:25:4.327;32;702;121;anonymous;NA
2022-10-4 13:25:4.334;32;701;124;anonymous;NA
2022-10-4 13:25:4.340;32;700;127;anonymous;NA
2022-10-4 13:25:4.348;32;699;130;anonymous;NA
2022-10-4 13:25:4.355;32;698;133;anonymous;NA
2022-10-4 13:25:4.362;32;697;136;anonymous;NA
2022-10-4 13:25:4.370;32;696;138;anonymous;NA
2022-10-4 13:25:4.377;32;696;140;anonymous;NA
2022-10-4 13:25:4.384;32;695;142;anonymous;NA
2022-10-4 13:25:4.391;32;694;145;anonymous;NA
2022-10-4 13:25:4.405;32;692;149;anonymous;NA
2022-10-4 13:25:4.413;32;692;150;anonymous;NA
2022-10-4 13:25:4.420;32;692;153;anonymous;NA
2022-10-4 13:25:4.427;32;691;155;anonymous;NA
2022-10-4 13:25:4.435;32;690;157;anonymous;NA
2022-10-4 13:25:4.442;32;689;160;anonymous;NA
2022-10-4 13:25:4.450;32;688;162;anonymous;NA
2022-10-4 13:25:4.459;32;688;165;anonymous;NA
2022-10-4 13:25:4.464;32;687;167;anonymous;NA
2022-10-4 13:25:4.472;32;686;169;anonymous;NA
2022-10-4 13:25:4.479;32;685;172;anonymous;NA
2022-10-4 13:25:4.487;32;685;173;anonymous;NA
2022-10-4 13:25:4.494;32;685;174;anonymous;NA
2022-10-4 13:25:4.502;32;684;176;anonymous;NA
2022-10-4 13:25:4.507;32;684;177;anonymous;NA
2022-10-4 13:25:4.515;32;684;179;anonymous;NA
2022-10-4 13:25:4.522;32;683;181;anonymous;NA
2022-10-4 13:25:4.530;32;682;182;anonymous;NA
2022-10-4 13:25:4.536;32;681;183;anonymous;NA
2022-10-4 13:25:4.543;32;680;185;anonymous;NA
2022-10-4 13:25:4.551;32;680;187;anonymous;NA
2022-10-4 13:25:4.558;32;678;189;anonymous;NA
2022-10-4 13:25:4.565;32;676;192;anonymous;NA
2022-10-4 13:25:4.573;32;674;195;anonymous;NA
2022-10-4 13:25:4.583;32;672;197;anonymous;NA
2022-10-4 13:25:4.588;32;668;201;anonymous;NA
2022-10-4 13:25:4.594;32;666;205;anonymous;NA
2022-10-4 13:25:4.602;32;663;209;anonymous;NA
2022-10-4 13:25:4.610;32;658;213;anonymous;NA
2022-10-4 13:25:4.617;32;655;217;anonymous;NA
2022-10-4 13:25:4.624;32;652;222;anonymous;NA
2022-10-4 13:25:4.632;32;648;225;anonymous;NA
2022-10-4 13:25:4.639;32;646;227;anonymous;NA
2022-10-4 13:25:4.645;32;644;229;anonymous;NA
2022-10-4 13:25:4.653;32;641;231;anonymous;NA
2022-10-4 13:25:4.660;32;639;232;anonymous;NA
2022-10-4 13:25:4.667;32;638;232;anonymous;NA
2022-10-4 13:25:4.677;32;636;233;anonymous;NA
2022-10-4 13:25:4.681;32;634;233;anonymous;NA
2022-10-4 13:25:4.689;32;633;233;anonymous;NA
2022-10-4 13:25:4.696;32;632;233;anonymous;NA
2022-10-4 13:25:4.718;32;630;233;anonymous;NA
2022-10-4 13:25:4.724;32;628;231;anonymous;NA
2022-10-4 13:25:4.732;32;626;229;anonymous;NA
2022-10-4 13:25:4.742;32;624;226;anonymous;NA
2022-10-4 13:25:4.747;32;624;223;anonymous;NA
2022-10-4 13:25:4.756;32;620;218;anonymous;NA
2022-10-4 13:25:4.761;32;618;215;anonymous;NA
2022-10-4 13:25:4.770;32;615;209;anonymous;NA
2022-10-4 13:25:4.777;32;611;205;anonymous;NA
2022-10-4 13:25:4.784;32;608;198;anonymous;NA
2022-10-4 13:25:4.790;32;606;193;anonymous;NA
2022-10-4 13:25:4.798;32;604;185;anonymous;NA
2022-10-4 13:25:4.804;32;602;179;anonymous;NA
2022-10-4 13:25:4.812;32;599;173;anonymous;NA
2022-10-4 13:25:4.818;32;597;166;anonymous;NA
2022-10-4 13:25:4.827;32;596;161;anonymous;NA
2022-10-4 13:25:4.834;32;594;158;anonymous;NA
2022-10-4 13:25:4.841;32;593;155;anonymous;NA
2022-10-4 13:25:4.849;32;590;150;anonymous;NA
2022-10-4 13:25:4.856;32;589;147;anonymous;NA
2022-10-4 13:25:4.864;32;588;143;anonymous;NA
2022-10-4 13:25:4.870;32;588;138;anonymous;NA
2022-10-4 13:25:4.877;32;587;133;anonymous;NA
2022-10-4 13:25:4.884;32;586;127;anonymous;NA
2022-10-4 13:25:4.892;32;584;121;anonymous;NA
2022-10-4 13:25:4.898;32;584;116;anonymous;NA
2022-10-4 13:25:4.906;32;583;112;anonymous;NA
2022-10-4 13:25:4.913;32;583;108;anonymous;NA
2022-10-4 13:25:4.921;32;583;105;anonymous;NA
2022-10-4 13:25:4.930;32;583;101;anonymous;NA
2022-10-4 13:25:4.935;32;583;97;anonymous;NA
2022-10-4 13:25:4.944;32;583;95;anonymous;NA
2022-10-4 13:25:4.951;32;583;92;anonymous;NA
2022-10-4 13:25:4.959;32;583;89;anonymous;NA
2022-10-4 13:25:4.965;32;583;87;anonymous;NA
2022-10-4 13:25:4.973;32;583;85;anonymous;NA
2022-10-4 13:25:4.979;32;583;83;anonymous;NA
2022-10-4 13:25:4.990;32;583;82;anonymous;NA
2022-10-4 13:25:4.993;32;583;81;anonymous;NA
2022-10-4 13:25:5.1;32;583;79;anonymous;NA
2022-10-4 13:25:5.8;32;583;78;anonymous;NA
2022-10-4 13:25:5.15;32;583;77;anonymous;NA
2022-10-4 13:25:5.22;32;583;76;anonymous;NA
2022-10-4 13:25:5.29;32;583;75;anonymous;NA
2022-10-4 13:25:5.37;32;583;73;anonymous;NA
